ITEM,AÑO,MES,FECHA DE LA ACTIVIDAD,TITULO DE LA ACTIVIDAD,DEFINICION DE LA ACTIVIDAD,HORA DE LA ACTIVIDAD,LUGAR DE LA ACTIVIDAD (PARQUE),DIRECCION DEL PARQUE,PROGRAMA 
36,2024,FEBRERO,01/02/2024,CAMPEONATO AMISTOSO DE BASQUET,PÚBLICO EN GENERAL,9:00 AM A 1:00PM,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.,
37,2024,MARZO,02/03/2024,CLAUSURA TALLER DE BASQUET,ALUMNOS Y PÚBLICO EN GENERAL,9:00 AM A 1:00 PM,CLUB METROPOLITANO LLOQUE YUPANQUI,Cruce de Av. Universitaria y Av. Naranjal,DEPORTE
38,2024,MARZO,03/03/2024,Actividad física '' BAILEMOS MUJERES'',DIRIGIDO A PUBLICO EN GENERAL,08:00 a. m.,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,Cruce de Av. Universitaria y Av. Naranjal,DEPORTIVO
39,2024,MARZO,08/03/2024,""" CAMINATA DE LA MUJER Y CONCURSO DE TALENTOS""",DIRIGIDO A LOS ALUMNOS Y PUBLICO EN GENERAL,11:00 a. m.,CLUB METROPOLITANO HUASCAR,Las palomas 200 millas,DEPORTIVO
40,2024,MARZO,08/03/2024,VEN Y BAILA CON NOSOTRAS,"consiste en brindar a las mujeres, una tarde de 
entretenimiento a través de (01) clase de baile y aeróbicos asimismo expresarse 
libremente a través de un mural.",09:30 a. m.,CLUB METROPOLITANO FLOR DE AMANCAES,Cruce de Av. Universitaria y Av. Naranjal,DEPORTIVO
41,2024,MARZO,08/03/2024,MASTER CLASS DE BAILE CONMMEMORANDO EL DÍA DE LA MUJER,DIRIGIDO A PUBLICO EN GENERAL,4:00PM,CLUB METROPOLITANO WIRACOCHA,Cruce de Av. Universitaria y Av. Naranjal,DEPORTIVO
42,2024,MARZO,08/03/2024,BAILETON PARA LA FAMILIA Y EL ADULTO MAYOR,DIRIGIDO A PUBLICO EN GENERAL,12:00 M,CLUB METROPOLITANO LLOQUE YUPANQUI,Cruce de Av. Universitaria y Av. Naranjal,DEPORTIVO
43,2024,MARZO,08/03/2024,AEROTRAINING FEMENINO,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 5:00 PM,PARQUE METROPOLITANO MIGRANTE,Cruce de Av. Aviación y Av. Bausate y Meza,DEPORTIVO
44,2024,MARZO,08/03/2024,POWERAEROBIC,MAYORES DE 18,11:45 a. m.,CLUB METROPOLITANO SINCHI ROCA,Cruce de Av. Universitaria y Av. Jamaica,DEPORTIVO
45,2024,MARZO,09/03/2024,CAMPEONATO RELÁMPAGO DE VOLEY,SE SORTEARAN ENTRADAS Y PASES LIBRES A LA PISCINA,TODO EL DÍA,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru,DEPORTIVO
46,2024,MARZO,09/03/2024,DEMOSTRACIÓN Y CLAUSURA DEL TALLER DE SKATE,ALUMNOS Y PÚBLICO EN GENERAL,9:00AM A 1:00 PM,CLUB METROPOLITANO LLOQUE YUPANQUI,Cruce de Av. Universitaria y Av. Naranjal,DEPORTE
47,2024,Marzo,16/03/2024,Amistoso de fútbol,Equipo de Huayna Capac con Equipo Invitado,10:00 a. m.,CLUB MET HUAYNA CAPAC,Cruce de Pedro Miotta y Av Mateo Pumacahua,DEPORTIVO
48,2024,MARZO,23/03/2023,COPA CAPAC YUPANQUI,CATEGORIA 10 A 13 AÑOS,,CLUB MET CAPAC YUPANQUI- ANGIE,Cruce de Av. Amancaes y Av. 24 de junio,DEPORTIVO
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
